starttime,stoptime,start station id,end station id
9/1/15 0:28,9/1/15 0:46,524,403
9/1/15 0:28,9/1/15 0:43,449,368
9/1/15 0:29,9/1/15 0:33,331,412
9/1/15 0:29,9/1/15 0:47,396,467
9/1/15 0:29,9/1/15 0:52,519,2012
9/1/15 0:29,9/1/15 0:41,336,296
9/1/15 0:29,9/1/15 0:39,361,264
9/1/15 0:29,9/1/15 0:35,284,483
9/1/15 0:29,9/1/15 0:41,334,439
9/1/15 0:29,9/1/15 0:52,519,2012
9/1/15 0:29,9/1/15 0:43,285,312
9/1/15 0:29,9/1/15 0:39,3084,3110
9/1/15 0:29,9/1/15 0:33,494,379
9/1/15 0:30,9/1/15 0:38,151,432
9/1/15 0:30,9/1/15 0:33,474,496
9/1/15 0:30,9/1/15 0:52,519,2012
9/1/15 0:31,9/1/15 0:40,389,3076
9/1/15 0:31,9/1/15 0:40,389,3076
9/1/15 0:31,9/1/15 0:46,2000,258
9/1/15 0:31,9/1/15 0:40,389,3076
9/1/15 0:32,9/1/15 0:39,361,302
9/1/15 0:33,9/1/15 0:44,494,465
9/1/15 0:33,9/1/15 0:44,494,465
9/1/15 0:33,9/1/15 1:08,517,3133
9/1/15 0:33,9/1/15 0:50,360,301
9/1/15 0:33,9/1/15 0:44,526,161
9/1/15 0:34,9/1/15 0:42,477,490
9/1/15 0:34,9/1/15 0:42,492,527
9/1/15 0:35,9/1/15 0:39,450,480
9/1/15 0:35,9/1/15 0:42,494,491
9/1/15 0:35,9/1/15 0:55,83,3042
9/1/15 0:35,9/1/15 0:44,527,546
9/1/15 0:35,9/1/15 0:58,358,2009
9/1/15 0:36,9/1/15 0:46,293,3224
9/1/15 0:36,9/1/15 0:47,293,3224
9/1/15 0:36,9/1/15 0:43,252,251
9/1/15 0:36,9/1/15 0:46,519,446
9/1/15 0:36,9/1/15 0:45,358,334
9/1/15 0:37,9/1/15 0:41,350,401
9/1/15 0:37,9/1/15 0:45,312,348
9/1/15 0:37,9/1/15 0:51,377,376
9/1/15 0:37,9/1/15 0:45,359,527
9/1/15 0:38,9/1/15 0:40,521,512
9/1/15 0:38,9/1/15 0:46,293,3224
9/1/15 0:38,9/1/15 0:45,161,497
9/1/15 0:38,9/1/15 1:04,336,467
9/1/15 0:38,9/1/15 1:16,433,3115
9/1/15 0:38,9/1/15 0:41,376,415
